,subj,sex,age,CloseFriendsG1,CloseFriendsG2,CloseFriendsG3,CloseFriendsG4,CloseFriendsG5,CloseFriendsG6,NumberFriendsG1,intl,vocal,classical,folk,rock,country,pop,alternative,hiphop,unclassifiable,Pop1,Pop2,Pop3,Pop4,Pop5,Common1,Common1.1,Common2,Common3,Common4,Tech1,Tech2,Common5,Common6,Tech3,Tech4,Common7,Tech5,Common8,Common9,Common10,Common11,Common12,Common13,Tech6,Tech7,Common14,Common15,Common16,Common17,Common18,Common19,Tech8,Common20,Tech9,Tech10,Common21,Common22,Common23,Common24,Tech11,Tech12,Tech13,Tech14,Tech15,Common25,Common26,Tech16,Common27,Common28,Tech17,Common29,Common30,Tech18,Tech19,Common31,Common32,Common33,Tech20,Common34,Tech21,Common35,Common36,Common37,Tech22,Tech23,Tech24,Tech25,Common38,Common39
134,p178,Male,20,2,2,0,0,0,0,3,0,0,4,0,3,0,0,3,0,0,45,5,2,1,1,2,1,1,1,1,1,1,5,5,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,2,1,1,1,1,5,5,1,1,1,5,5,4,1,5,1,1,1,5
135,p179,Male,21,5,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,39,5,1,1,1,5,4,1,1,1,1,1,5,5,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,1,1,1,5,5,1,5,1,5,5,5,1,1,1,1,1,1
136,p180,Male,18,1,1,1,0,0,0,3,0,3,0,0,0,0,0,0,1,0,36,5,1,5,1,1.5,3,4,1,1,1,1,1,1,3,1,1,1,3,1,1,5,1,1,1,5,1,1,1,3,5,1,1,5,1,1,5,1,1,4,1,1,5,1,1,4,1,2,5,5,1,3,1,1,5,5,1,1,1,5,1,5,1,1,1,1,1,1,1,5
137,p181,Male,18,6,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,62,5,5,1,3,1,1,4,1,1,1,5,5,5,1,1,1,1,5,1,4,5,5,1,1,1,1,1,1,1,5,5,1,2,1,5,1,5,5,4,1,1,1,1,1,1,5,1,1,5,1,3,2,1,4,5,1,5,1,5,5,5,5,5,1,1,1,1,1,5
138,p182,Female,18,5,0,2,0,0,0,1,0,4,5,0,1,0,0,2,0,0,48,5,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,3,1,5,2,1,2,1,1,1,1,1,5,1,5,1,5,5,5,1,5,1,1,1,5
139,p183,Male,21,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,33,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,p78,Female,28,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,5,1,4,5,2,3,5,1,3,1,4,5,5,5,5,1,4,4,1,1,5,5,1,5,1,3,1,1,5,5,1,1,5,5,1,5,5,1,4,1,1,5,1,1,5,5,1,1,1,5,5,5,1,1,1,5,5,3,5,5,5,5,4,5,1,1,1,1,5
141,p81,Female,18,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,36,1,1,1,1,2,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
142,p83,Male,19,7,0,0,1,0,0,1,0,1,0,0,4,4,4,4,0,0,42,1,1,1,1,2,5,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,2,1,1,1,5,1,1,1,1,1,1,1,1
143,p84,Male,18,6,1,0,0,5,0,1,0,7,1,0,2,0,1,2,2,0,42,5,1,1,3,2,3,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,4,1,5,1,1,1,1,5,1
